"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(1,2)) []","dB(S(2,2)) []"
17.055,-21.3603084357948,-3.0678356218202,-3.06783562181976,-21.3697368468587
17.1025,-20.541111041896,-2.99705854963783,-2.99705854963731,-20.3524147299224
17.15,-19.6447271433995,-2.9163956937694,-2.91639569376873,-19.2853508923769
17.1975,-18.7019476210256,-2.82629252882095,-2.82629252882017,-18.2044512313192
17.245,-17.7379210816618,-2.7275811328498,-2.72758113284889,-17.1334312716527
17.2925,-16.7718972181704,-2.6216930449697,-2.62169304496876,-16.0873496803366
17.34,-15.8186672996068,-2.51096431114792,-2.51096431114699,-15.0762862203358
17.3875,-14.8906348563755,-2.39905573457097,-2.39905573457009,-14.108423004298
17.435,-14.0000102660304,-2.29149893959419,-2.29149893959346,-13.1925399591974
17.4825,-13.1609573058866,-2.19633993896096,-2.19633993896044,-12.3401112412826
17.53,-12.3915835865943,-2.12476606596904,-2.12476606596877,-11.5670776800177
17.5775,-11.7154879905198,-2.09145331593482,-2.09145331593479,-10.8950849789179
17.625,-11.1622066223863,-2.11418218106927,-2.11418218106942,-10.3515766597104
17.6725,-10.7655318708956,-2.21216471010999,-2.21216471011017,-9.96780760636356
17.72,-10.5588358411284,-2.40275842778191,-2.40275842778195,-9.77407737094434
17.7675,-10.5678555533685,-2.69703498338612,-2.69703498338579,-9.79279311596883
17.815,-10.803641300114,-3.09577553160246,-3.09577553160166,-10.0319779805339
17.8625,-11.2594976168314,-3.58794115258199,-3.58794115258079,-10.4826437844197
17.91,-11.9137223083686,-4.15267733020574,-4.15267733020424,-11.1214229239762
17.9575,-12.7360884090754,-4.76398494772181,-4.76398494772028,-11.9164136937279
18.005,-13.6939956613294,-5.39593459854268,-5.39593459854116,-12.832552596572
18.0525,-14.7552747753206,-6.02656982442879,-6.02656982442766,-13.833913831415
18.1,-15.8867116953483,-6.63979447623113,-6.63979447623024,-14.8823619380946
18.1475,-17.048629670385,-7.22552629038105,-7.22552629038054,-15.9334624712103
18.195,-18.1866777397726,-7.77879777302805,-7.77879777302782,-16.9317671338456
18.2425,-19.2242815138062,-8.29844210476277,-8.29844210476276,-17.8094893902919
18.29,-20.0645076956451,-8.78578886676217,-8.78578886676233,-18.4944282967755
18.3375,-20.6134231710975,-9.24358299908056,-9.2435829990807,-18.930059389987
18.385,-20.8226040235808,-9.6751914763272,-9.67519147632734,-19.0988665172955
18.4325,-20.7174194836583,-10.0840786024795,-10.0840786024796,-19.0300892590523
18.48,-20.3801793807501,-10.4734954985112,-10.4734954985112,-18.7841589226336
18.5275,-19.906532613865,-10.8463230808958,-10.8463230808956,-18.4276980958712
18.575,-19.3738592389658,-11.2050156911729,-11.2050156911726,-18.0162032013405
18.6225,-18.8329780961118,-11.5516050760339,-11.5516050760334,-17.5886596404475
18.67,-18.3128221575269,-11.8877366595705,-11.8877366595699,-17.1693989174961
18.7175,-17.8278135039297,-12.2147199825378,-12.2147199825371,-16.772143826518
18.765,-17.3837715575589,-12.5335824265964,-12.5335824265957,-16.4037198126356
18.8125,-16.9817616361178,-12.8451202395499,-12.8451202395491,-16.0667530546027
18.86,-16.6203797828503,-13.1499439906925,-13.1499439906917,-15.7614366474884
18.9075,-16.2970456087934,-13.4485174490144,-13.4485174490135,-15.4866252469395
18.955,-16.0087118128584,-13.7411899174968,-13.7411899174959,-15.2404922023763
19.0025,-15.7522425852225,-14.0282225816625,-14.0282225816617,-15.0209151568295
19.05,-15.5246073637555,-14.3098096479579,-14.3098096479571,-14.8256972318611
19.0975,-15.3229727951421,-14.5860950915718,-14.5860950915711,-14.6526899742179
19.145,-15.1447392641861,-14.8571857869432,-14.8571857869424,-14.4998581149218
19.1925,-14.9875478314648,-15.1231617068471,-15.1231617068464,-14.3653101616408
19.24,-14.8492719480675,-15.3840837756274,-15.3840837756266,-14.2473091823089
19.2875,-14.7280019049499,-15.6399998638063,-15.6399998638057,-14.1442723519211
19.335,-14.6220263833412,-15.8909493221814,-15.8909493221807,-14.0547643730036
19.3825,-14.5298134568284,-16.1369663763358,-16.1369663763352,-13.9774878055486
19.43,-14.4499922639015,-16.3780826376351,-16.3780826376345,-13.9112720950547
19.4775,-14.3813359364716,-16.6143289333593,-16.6143289333588,-13.8550623356766
19.525,-14.3227460189929,-16.8457366152775,-16.845736615277,-13.807908351965
19.5725,-14.2732384223045,-17.07233847118,-17.0723384711795,-13.7689544094206
19.62,-14.2319308568185,-17.2941693361974,-17.2941693361969,-13.7374297003686
19.6675,-14.1980316416267,-17.5112664788431,-17.5112664788425,-13.7126396547496
19.715,-14.1708297667891,-17.7236698195109,-17.7236698195102,-13.6939580693477
19.7625,-14.1496860824703,-17.9314220256886,-17.9314220256879,-13.6808200178604
19.81,-14.1340254932493,-18.134568517659,-18.1345685176584,-13.6727154882908
19.8575,-14.1233300445839,-18.3331574103061,-18.3331574103055,-13.6691836873803
19.905,-14.1171327986791,-18.5272394103518,-18.5272394103511,-13.6698079504802
19.9525,-14.1150124075676,-18.7168676834907,-18.7168676834899,-13.6742111970593
20,-14.1165883013756,-18.9020977021693,-18.9020977021684,-13.6820518755453
